Words,	Synonyms
Sporadic	intermittent, scattered
Spry	Nimble, Brisk
Squalid	dirty, filthy
Successful	Propitious, Felicitous
Sterile	Barren, Impotent
Stupor	lethargy, unconsciousness
Subsequent	consequent, following
Substantial	Considerable, solid
Subvert	Demolish, sabotage
Superficial	Partial, shallow
Sycophant	Parasite, flatterer
Taboo	Prohibit, ban
Taciturn	Reserved, silent
Tedious	Wearisome. Irksome
Temperate	Cool, moderate
Tenement	Apartment, Digs
Tenacious	Stubborn, Dodge
Throng	Assembly, crowd
Timid	Diffident, coward
Tranquil	Peaceful, composed
Transient	Temporal, transitory
Trenchant	Assertive, forceful
Treacherous	Dishonest, duplicitous
Trivial	Trifling, insignificant
Tumultuous	Violent, riotous
Tyro	Beginner, riotous
Tame	Compliant, Subdued
Terse	Incisive, Compact
Thick	Chunky, massive
Thrifty	Frugal, prudent
Tranquil	Amicable, Calm
Transparent	Diaphanous
Tremble	Vibrate
Uncouth	Awkward, ungraceful
Utterly	Completely, entirely
Umbrage	Chagrin, offense
Uncouth	Boorish, Clownish
Urchin	Foundling, Orphan
Urge	Incite, Implore
Vain	Arrogant, egoistic
Vagrant	Wander, roaming
Valor	Bravery, prowess
Vanity	Conceit, pretension
Venerable	Esteemed, honored
Venom	Poison, malevolence
Veteran	Ingenious, experienced
Vicious	Corrupt, obnoxious
Vigilant	Cautious, alert
Vivacious	Spirited, Energetic
Vilify	Malign, Slur
Vouch	Confirm, consent
Virtue	Ethic, morality
Vivid	Eloquent, lucid
Waive	Relinquish, remove
Wan	Pale, faded
Wane	Decline, Dwindle
Wary	cautious, circumspect
Wed	marry, combine
Wicked	vicious, immoral
Wield	Exert, employ
Wile	Trickery, Artifice
Winsome	Beautiful, Comely
Wilt	wither, perish
Yell	shout, shriek
Yield	surrender abdicate
Yearn	languish, crave
Yoke	connect, harness
Zeal	eagerness, fervor
Zenith	summit, apex
Zest	delight, enthusiasm
Zig -zag	oblique, wayward
